
"-OR-", "-VAI-"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.", "Nosaka kāda Autorizācija Godu periods ir par komersanta PayPal kontā Tā ir jānotiek iestatījumu PayPal.".
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.", "Nosaka kāda rīkojums Derīgs periods ir par komersanta PayPal kontā Tā ir jānotiek iestatījumu PayPal.".
"State/Province", "Valsts / province"
"Static", "Statiskā"
"Street Address", "Adrese"
"Street Address %s", "Adrese% s"
"Submitting order information...", "Iesniegšana pasūtījuma informāciju ..."
"Subscriber name is too long.", "Abonenta nosaukums ir pārāk garš."
"Subscription ID", "Abonēšanas ID"
"Subscription Payment, "Abonēšanas Maksājumu
"Subtotal", "Starpsumma"
"Summary Text for Aggregated Cart", "Kopsavilkums Teksts apkopotie grozam"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.", "Atbalsts American Express karšu nepieciešama papildu vienošanās. Uzziniet vairāk <a href=""http://www.paypal.com/amexupdate""> http:/ /www.paypal.com/amexupdate </ a>."
"Switch/Maestro", "Slēdzis / Maestro"
"Telephone", "Tālrunis"
"Test Mode", "Testa režīms"
"The background color for the checkout page around the header and payment form.", "Fona krāsa uz izrakstīšanās lapā ap galveni un maksājuma formu."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.", "Fona krāsa virsrakstā izrakstīšanās lapā reģistrjutīga sešu rakstzīmju HTML heksadecimālais krāsu kodu ASCII.".
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.", "Noklusējuma skaits bērnu atļauju savā PayPal kontā ir 1 Lai darīt vairākas atļaujas, lūdzu, sazinieties ar PayPal, lai pieprasītu palielinājumu.".
"The following error(s) occured:", "Šāda kļūda (-s) kļūda:"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.", "Augšējā kreisajā izrakstīšanās lapā. Maksimālā izmēra attēls ir 750x90 pikseļu <strong style=""color:red""> https </ strong> ir ļoti atbalstāma.".
"The maximum number of child authorizations is reached.", "Maksimālais skaits bērnu atļauju ir sasniegts."
"The merchant account is not yet verified.", "Tirgotāja konta vēl nav apstiprināta."
"The payment curency does not match any of the merchant's balances currency.", "Maksājums curency neatbilst nevienam no komersanta atlikumi valūtā."
"The payment eCheck is not yet cleared.", "Maksājums eCheck vēl nav noskaidroti."
"The payment is authorized but not settled.", "Maksājuma apstiprināšanas, bet ne atrisināt."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.", "Maksājums tiek izskatīta, jo tas tika veikts uz e-pasta adresi, kas vēl nav reģistrēta vai apstiprināta."
"The payment is pending while it is being reviewed by PayPal for risk.", "Maksājums tiek izskatīts, bet tas tiek pārskatīta ar PayPal uz risku."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.", "Maksājums tika veikts, izmantojot kredītkarti Lai saņemtu līdzekļus komersantam ir uzlabot kontu Business vai Premier statusu.".
"There is already another PayPal solution enabled. Enable this solution instead?", "Ir jau vēl viena PayPal ļāva risinājums Iespējojiet šo risinājumu vietā?".
"There was an error processing your order. Please contact us or try again later.", "Tur bija kļūda, apstrādājot savu pasūtījumu, lūdzu, sazinieties ar mums vai mēģiniet vēlreiz vēlāk.".
"This feature needs be enabled first for the merchant account through PayPal technical support.", "Šī funkcija ir jānodrošina iespējota pirmais tirgotāja kontu caur PayPal tehnisko atbalstu."
"This operation requires an existing transaction object.", "Šī operācija ir nepieciešama esošo darījumu objektu."
"Time of Day", "Dienas laiks"
"Title", "Nosaukums"
"Transaction ID", "Darījuma ID"
"Transaction ID must not be empty.", "Darījuma ID nedrīkst būt tukšs."
"Transaction Information", "Darījumu informācija"
"Transfer Cart Line Items", "Transfer Groza rindas vienības"
"Transfer Shipping Options", "Transfer Kuģniecības opcijas"
"Triggered Fraud Filters", "Trigera Krāpšana Filters"
"URL method for Cancel URL and Return URL", "URL metode Cancel URL un atgriezt URL"
"Unable to cancel Express Checkout.", "Nevar atcelt Express Checkout."
"Unable to change status. Current status is not correspond to real status.", "Nevar mainīt statusu. Pašreizējais statuss neatbilst reālajai statusu."
"Unable to communicate with the PayPal gateway.", "Nevar sazināties ar PayPal vārti."
"Unable to initialize Express Checkout review.", "Nevar inicializēt Express Checkout pārskatīšanu."
"Unable to initialize Express Checkout.", "Nevar inicializēt Express Checkout."
"Unable to place the order.", "Nevar veikt pasūtījumu."
"Unable to process Express Checkout approval.", "Nevar apstrādāt Express Checkout apstiprinājumu."
"Unable to start Express Checkout.", "Nevar sākt Express Checkout."
"Unable to update Order data.", "Nevar atjaunināt pasūtījumu datus."
"Unable to update shipping method.", "Nevar atjaunināt kuģniecības metode."
"Unknown Error. Please try again later.", "Nezināma kļūda, lūdzu, mēģiniet vēlreiz vēlāk.".
"Unknown reason. Please contact PayPal customer service.", "Nezināma iemesla. Lūdzu sazinieties PayPal klientu apkalpošanu."
"Update Order Data", "Update pasūtījuma informāciju"
"Use Proxy", "Lietot Proxy"
"Use colon to specify port. For example: ""test.example.com:5224"".", "Izmantojiet kolu, lai norādītu ostu. Piemēram:" "test.example.com: 5224" "."
"User", "Lietotājs"
"User-initiated Currency Conversion", "Lietotāja palaista Valūtas maiņas"
"Uses store frontend name by default.", "Izmanto veikala interfeisa nosaukumu pēc noklusējuma."
"VAT Number", "PVN reģistrācijas numurs"
"Vendor", "Pārdevējs"
"View", "Skats"
"View Demo", "View Demo"
"View Transaction", "View darījums"
"View Transaction Details", "View darījuma detaļas"
"Virtual PayPal Debit Card Transaction", "Virtuālā PayPal debetkarti"
"Virtual Terminal Payment", "Virtual Terminal maksājums"
"Void", "Void"
"We prefer PayPal (150 X 40)", "Mēs gribētu PayPal (150 x 40)"
"We prefer PayPal (150 X 60)", "Mēs gribētu PayPal (150 x 60)"
"Website Payments Plus", "Website Maksājumi Plus"
"Website Payments Pro (Includes Express Checkout)", "Mājas Maksājumi Pro (Ieskaitot Express Checkout)"
"Website Payments Pro Hosted Solution", "Website Maksājumi Pro Hosted Solution"
"Website Payments Pro Hosted Solution (Includes Express Checkout)", "Mājas Maksājumi Pro Hosted Solution (Ieskaitot Express Checkout)"
"Website Payments Pro Hosted Solution and Express Checkout", "Mājas Maksājumi Pro Hosted risinājums un Express Pasūtīt"
"Website Payments Pro Payflow Edition (Includes Express Checkout)", "Mājas Maksājumi Pro Payflow Edition (Ieskaitot Express Checkout)"
"Website Payments Pro Payflow Edition and Express Checkout", "Mājas Maksājumi Pro Payflow Edition un Express Pasūtīt"
"Website Payments Pro and Express Checkout", "Mājas Maksājumi Pro un Express Pasūtīt"
"Website Payments Standard", "Website Maksājums Standard"
"Website Payments Standard Payment", "Website Maksājums Standard maksājums"
"What is PayPal?", "Kas ir PayPal?"
"Whether to create a billing agreement, "Vai izveidot norēķinu līgumu
"Will appear as a payment option only for customers who have at least one active billing agreement.", "Parādīsies kā maksāšanas iespējas tikai klientiem, kuriem ir vismaz viena aktīva norēķinu vienošanos."
"WorldLink Withdrawal", "Worldlink Izstāšanās"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?", "Vai jūs vēlētos parakstīt norēķinu līgumu, lai pilnveidotu turpmākos pirkumus ar PayPal?"
"Wrong PayPal Express Checkout Token specified.", "Nepareiza PayPal Express Noformēt Pilnvara norādīts."
"Yes", "Jā"
"Yes. Matched Address and five-didgit ZIP", "Jā Pagatavo Adrese. Un piecu didgit ZIP"
"You cannot void a verification transaction", "Jūs nevarat anulēt pārbaudes darījumu"
"You will be redirected to the PayPal website in a few seconds.", "Jums tiks novirzīts uz PayPal mājas lapā dažu sekunžu laikā."
"You will be redirected to the PayPal website when you place an order.", "Jums tiks novirzīts uz PayPal mājas lapā, ja jūs veikt pasūtījumu."
"You will be redirected to the PayPal website.", "Jums tiks novirzīts uz PayPal mājas lapā."
"You will be required to enter your payment details after you place an order.", "Jums tiks prasīts ievadīt savu maksājumu informāciju pēc pasūtījumu."
"Zip/Postal Code", "Zip / Postal"
"eBay Auction Payment", "EBay Izsoles maksājums"
